;;;;;;;;;;;;;;;;;;;;;;;;;;
Area;Leaf No.;Stamp Position on Leaf;Data;;;;;;;;;;;;;;;;;;;;;;;
;;;Plant 1;;Plant 2;;Plant 3;;Plant 4;;Plant 5;;Plant 6;;Plant 7;;Plant 8;;Plant 9;;Plant 10;;Plant 11;;Plant 12;
;;C;18;282,57;27;423,86;24;376,77;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;D;16;251,18;32;502,35;20;313,97;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;E;13;204,08;24;376,77;19;298,27;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;F;16;251,18;20;313,97;24;376,77;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;Leaf Mean;16,83;264,26;24,67;387,23;21,17;332,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;3;A;20;313,97;14;219,78;20;313,97;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;B;14;219,78;13;204,08;21;329,67;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;C;21;329,67;19;298,27;19;298,27;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;D;18;282,57;20;313,97;23;361,07;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;E;20;313,97;13;204,08;16;251,18;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;F;15;235,48;15;235,48;12;188,38;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;Leaf Mean;18,00;282,57;15,67;245,94;18,50;290,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;4;A;23;361,07;18;282,57;20;313,97;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;B;19;298,27;22;345,37;20;313,97;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;C;16;251,18;26;408,16;29;455,26;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;D;18;282,57;25;392,46;18;282,57;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;E;13;204,08;26;408,16;21;329,67;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;F;13;204,08;21;329,67;25;392,46;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;Leaf Mean;17,00;266,88;23,00;361,07;22,17;347,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;5;A;18;282,57;14;219,78;23;361,07;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;B;18;282,57;11;172,68;20;313,97;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;C;15;235,48;15;235,48;16;251,18;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;D;15;235,48;22;345,37;24;376,77;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;E;17;266,88;19;298,27;26;408,16;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;F;17;266,88;15;235,48;16;251,18;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00
;;Leaf Mean;16,67;261,64;16,00;251,18;20,83;327,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;Mean Stomatal Count /view field;;17,20;;19,66;;19,60;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stomatal Density /mmý;;270,02;;308,56;;307,69;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;
;;;;;;;;;;;;;;;;;;;;;;;;;;
